,Country,confirmed_inc,deaths_inc,recoveries_inc
542722,Turkey,15805.0,253.0,21004.0
542723,Turkey,15692.0,254.0,20192.0
542724,Turkey,14380.0,239.0,22021.0
542725,Turkey,12203.0,212.0,14110.0
542726,Turkey,11180.0,202.0,11672.0
542727,Turkey,9877.0,193.0,10102.0
542728,Turkey,13695.0,197.0,9896.0
542729,Turkey,14494.0,194.0,8908.0
542730,Turkey,13830.0,191.0,8702.0
542731,Turkey,12171.0,194.0,8211.0
542732,Turkey,11479.0,186.0,9894.0
542733,Turkey,9537.0,181.0,7902.0
542734,Turkey,9138.0,176.0,8103.0
542735,Turkey,10220.0,174.0,10301.0
542736,Turkey,9809.0,171.0,10013.0
542737,Turkey,9554.0,173.0,9463.0
542738,Turkey,8962.0,170.0,9011.0
542739,Turkey,8314.0,169.0,9109.0
542740,Turkey,7550.0,168.0,8005.0
542741,Turkey,6436.0,165.0,8812.0
542742,Turkey,5862.0,164.0,7905.0
542743,Turkey,6818.0,167.0,7218.0
542744,Turkey,6435.0,159.0,5932.0
542745,Turkey,6289.0,153.0,6113.0
542746,Turkey,5967.0,149.0,6018.0
542747,Turkey,5856.0,144.0,5811.0
542748,Turkey,5277.0,140.0,5860.0
542749,Turkey,5642.0,137.0,6682.0
542750,Turkey,7103.0,134.0,8108.0
542751,Turkey,7489.0,132.0,8803.0
542752,Turkey,7279.0,129.0,8902.0
542753,Turkey,6912.0,131.0,8093.0
542754,Turkey,6871.0,129.0,7100.0
542755,Turkey,6562.0,128.0,7006.0
542756,Turkey,7719.0,124.0,8016.0
542757,Turkey,7795.0,120.0,8639.0
542758,Turkey,8102.0,117.0,8314.0
542759,Turkey,7909.0,113.0,8815.0
542760,Turkey,7901.0,110.0,8217.0
542761,Turkey,7897.0,108.0,8089.0
542762,Turkey,6670.0,112.0,8201.0
542763,Turkey,8103.0,103.0,8567.0
542764,Turkey,8636.0,98.0,8109.0
542765,Turkey,8642.0,95.0,7903.0
542766,Turkey,7590.0,94.0,7811.0
542767,Turkey,7763.0,97.0,8108.0
542768,Turkey,7706.0,93.0,7215.0
542769,Turkey,6287.0,94.0,6910.0
542770,Turkey,7945.0,91.0,7106.0
542771,Turkey,7906.0,90.0,7189.0
542772,Turkey,7325.0,86.0,7209.0
542773,Turkey,7241.0,83.0,7217.0
542774,Turkey,7419.0,82.0,7498.0
542775,Turkey,7857.0,80.0,7210.0
542776,Turkey,6546.0,77.0,5002.0
542777,Turkey,8104.0,78.0,5690.0
542778,Turkey,9107.0,75.0,5546.0
542779,Turkey,9561.0,72.0,5297.0
542780,Turkey,9572.0,73.0,6210.0
542781,Turkey,9205.0,74.0,10282.0
542782,Turkey,9193.0,71.0,8938.0
542783,Turkey,8424.0,66.0,6511.0
542784,Turkey,9891.0,69.0,5947.0
542785,Turkey,11837.0,68.0,7892.0
542786,Turkey,11520.0,65.0,7191.0
542787,Turkey,11322.0,68.0,7873.0
542788,Turkey,11302.0,62.0,7711.0
542789,Turkey,11770.0,64.0,7291.0
542790,Turkey,11187.0,65.0,7785.0
542791,Turkey,13215.0,64.0,8106.0
542792,Turkey,13755.0,66.0,8639.0
542793,Turkey,14556.0,67.0,9193.0
542794,Turkey,14046.0,63.0,9231.0
542795,Turkey,14941.0,66.0,11180.0
542796,Turkey,15082.0,65.0,15287.0
542797,Turkey,13378.0,68.0,15516.0
542798,Turkey,15503.0,63.0,15893.0
542799,Turkey,16749.0,71.0,17893.0
542800,Turkey,18912.0,73.0,17161.0
542801,Turkey,20049.0,81.0,18615.0
542802,Turkey,21030.0,87.0,18119.0
542803,Turkey,21061.0,95.0,18815.0
542804,Turkey,20428.0,102.0,17615.0
542805,Turkey,22216.0,117.0,19494.0
542806,Turkey,26182.0,138.0,19201.0
542807,Turkey,29762.0,146.0,17761.0
542808,Turkey,28731.0,157.0,19186.0
542809,Turkey,29081.0,153.0,20208.0
542810,Turkey,30021.0,151.0,18892.0
542811,Turkey,29058.0,153.0,17164.0
542812,Turkey,32404.0,154.0,18015.0
542813,Turkey,37303.0,155.0,19925.0
542814,Turkey,39302.0,152.0,19193.0
542815,Turkey,40806.0,176.0,20817.0
542816,Turkey,42308.0,179.0,24419.0
542817,Turkey,44756.0,186.0,23214.0
542818,Turkey,41998.0,185.0,22674.0
542819,Turkey,42551.0,193.0,25627.0
542820,Turkey,49584.0,211.0,28498.0
542821,Turkey,54740.0,276.0,35503.0
542822,Turkey,55941.0,258.0,37914.0
542823,Turkey,55791.0,253.0,35786.0
542824,Turkey,52676.0,248.0,32539.0
542825,Turkey,50678.0,237.0,30194.0
542826,Turkey,54562.0,243.0,41218.0
542827,Turkey,59187.0,273.0,52104.0
542828,Turkey,62797.0,279.0,55413.0
542829,Turkey,61400.0,297.0,54894.0
542830,Turkey,63082.0,289.0,56510.0
542831,Turkey,62606.0,288.0,52184.0
542832,Turkey,55802.0,318.0,43856.0
542833,Turkey,55149.0,341.0,48947.0
542834,Turkey,61028.0,346.0,55592.0
